Hair Color,Eye Color,Skin Tone,Under Tone,Torso length,Body Proportion,Recommended Clothing Colors,Avoid Clothing Colors,Recommended Fitting Style,Recommended Materials,Recommended Patterns,Recommended Jewelry Metal,Recommended Shoes,Recommended Clothing Color Wheel Region,Avoid Clothing Color Wheel Region,Fabric Nature,Don't Exaggerate,Do Exaggerate
Black,Brown,Very Fair,Warm,Short Torso,Rectangle,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Defined Waist,Structured Cotton,Curved Lines,Gold,Low Heels or Flats,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Firm,Don't exaggerate straight lines,Exaggerate waistline
Black,Brown,Very Fair,Warm,Short Torso,Inverted Triangle,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",A-Line Bottoms,Flowy Fabric,Vertical Stripes,Gold,Low Heels or Flats,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Flowy,Don't exaggerate shoulders,Exaggerate hips
Black,Brown,Very Fair,Warm,Short Torso,Triangle,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Emphasize Top,Lightweight Cotton,Bright Tops,Gold,Low Heels or Flats,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Light,Don't exaggerate hips,Exaggerate upper body
Black,Brown,Very Fair,Warm,Short Torso,Oval,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Wraps and Empire,"Jersey, Knits",Diagonal Lines,Gold,Low Heels or Flats,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Stretchy,Don't exaggerate midsection,Exaggerate neckline and legs
Black,Brown,Very Fair,Warm,Short Torso,Trapezoid,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Balanced Fit,Soft Blends,Simple Solids,Gold,Low Heels or Flats,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Soft,Don't exaggerate any feature,Balance upper and lower body
Black,Brown,Very Fair,Warm,Short Torso,Hourglass,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Tailored Fit,"Stretchy, Soft Fabric",Subtle Prints,Gold,Low Heels or Flats,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Stretchy,Don't exaggerate curves excessively,Highlight waistline
Black,Brown,Very Fair,Warm,Short Torso,Apple,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Empire Waist,Drapey Fabric,Dark Solid Tops,Gold,Low Heels or Flats,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Drapey,Don't exaggerate waist,Exaggerate shoulders and legs
Black,Brown,Very Fair,Warm,Long Torso,Rectangle,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Defined Waist,Structured Cotton,Curved Lines,Gold,Heels or Platforms,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Firm,Don't exaggerate straight lines,Exaggerate waistline
Black,Brown,Very Fair,Warm,Long Torso,Inverted Triangle,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",A-Line Bottoms,Flowy Fabric,Vertical Stripes,Gold,Heels or Platforms,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Flowy,Don't exaggerate shoulders,Exaggerate hips
Black,Brown,Very Fair,Warm,Long Torso,Triangle,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Emphasize Top,Lightweight Cotton,Bright Tops,Gold,Heels or Platforms,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Light,Don't exaggerate hips,Exaggerate upper body
Black,Brown,Very Fair,Warm,Long Torso,Oval,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Wraps and Empire,"Jersey, Knits",Diagonal Lines,Gold,Heels or Platforms,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Stretchy,Don't exaggerate midsection,Exaggerate neckline and legs
Black,Brown,Very Fair,Warm,Long Torso,Trapezoid,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Balanced Fit,Soft Blends,Simple Solids,Gold,Heels or Platforms,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Soft,Don't exaggerate any feature,Balance upper and lower body
Black,Brown,Very Fair,Warm,Long Torso,Hourglass,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Tailored Fit,"Stretchy, Soft Fabric",Subtle Prints,Gold,Heels or Platforms,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Stretchy,Don't exaggerate curves excessively,Highlight waistline
Black,Brown,Very Fair,Warm,Long Torso,Apple,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Empire Waist,Drapey Fabric,Dark Solid Tops,Gold,Heels or Platforms,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Drapey,Don't exaggerate waist,Exaggerate shoulders and legs
Black,Brown,Very Fair,Warm,Balanced,Rectangle,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Defined Waist,Structured Cotton,Curved Lines,Gold,Any Style,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Firm,Don't exaggerate straight lines,Exaggerate waistline
Black,Brown,Very Fair,Warm,Balanced,Inverted Triangle,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",A-Line Bottoms,Flowy Fabric,Vertical Stripes,Gold,Any Style,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Flowy,Don't exaggerate shoulders,Exaggerate hips
Black,Brown,Very Fair,Warm,Balanced,Triangle,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Emphasize Top,Lightweight Cotton,Bright Tops,Gold,Any Style,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Light,Don't exaggerate hips,Exaggerate upper body
Black,Brown,Very Fair,Warm,Balanced,Oval,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Wraps and Empire,"Jersey, Knits",Diagonal Lines,Gold,Any Style,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Stretchy,Don't exaggerate midsection,Exaggerate neckline and legs
Black,Brown,Very Fair,Warm,Balanced,Trapezoid,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Balanced Fit,Soft Blends,Simple Solids,Gold,Any Style,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Soft,Don't exaggerate any feature,Balance upper and lower body
Black,Brown,Very Fair,Warm,Balanced,Hourglass,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Tailored Fit,"Stretchy, Soft Fabric",Subtle Prints,Gold,Any Style,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Stretchy,Don't exaggerate curves excessively,Highlight waistline
Black,Brown,Very Fair,Warm,Balanced,Apple,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Empire Waist,Drapey Fabric,Dark Solid Tops,Gold,Any Style,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Drapey,Don't exaggerate waist,Exaggerate shoulders and legs
Black,Brown,Very Fair,Cool,Short Torso,Rectangle,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Defined Waist,Structured Cotton,Curved Lines,Silver,Low Heels or Flats,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel,Firm,Don't exaggerate straight lines,Exaggerate waistline
Black,Brown,Very Fair,Cool,Short Torso,Inverted Triangle,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",A-Line Bottoms,Flowy Fabric,Vertical Stripes,Silver,Low Heels or Flats,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel,Flowy,Don't exaggerate shoulders,Exaggerate hips
Black,Brown,Very Fair,Cool,Short Torso,Triangle,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Emphasize Top,Lightweight Cotton,Bright Tops,Silver,Low Heels or Flats,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel,Light,Don't exaggerate hips,Exaggerate upper body
Black,Brown,Very Fair,Cool,Short Torso,Oval,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Wraps and Empire,"Jersey, Knits",Diagonal Lines,Silver,Low Heels or Flats,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel,Stretchy,Don't exaggerate midsection,Exaggerate neckline and legs
Black,Brown,Very Fair,Cool,Short Torso,Trapezoid,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Balanced Fit,Soft Blends,Simple Solids,Silver,Low Heels or Flats,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel,Soft,Don't exaggerate any feature,Balance upper and lower body
Black,Brown,Very Fair,Cool,Short Torso,Hourglass,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Tailored Fit,"Stretchy, Soft Fabric",Subtle Prints,Silver,Low Heels or Flats,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel,Stretchy,Don't exaggerate curves excessively,Highlight waistline
Black,Brown,Very Fair,Cool,Short Torso,Apple,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Empire Waist,Drapey Fabric,Dark Solid Tops,Silver,Low Heels or Flats,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel,Drapey,Don't exaggerate waist,Exaggerate shoulders and legs
Black,Brown,Very Fair,Cool,Long Torso,Rectangle,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Defined Waist,Structured Cotton,Curved Lines,Silver,Heels or Platforms,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel,Firm,Don't exaggerate straight lines,Exaggerate waistline
Black,Brown,Very Fair,Cool,Long Torso,Inverted Triangle,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",A-Line Bottoms,Flowy Fabric,Vertical Stripes,Silver,Heels or Platforms,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel,Flowy,Don't exaggerate shoulders,Exaggerate hips
Black,Brown,Very Fair,Cool,Long Torso,Triangle,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Emphasize Top,Lightweight Cotton,Bright Tops,Silver,Heels or Platforms,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel,Light,Don't exaggerate hips,Exaggerate upper body
Black,Brown,Very Fair,Cool,Long Torso,Oval,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Wraps and Empire,"Jersey, Knits",Diagonal Lines,Silver,Heels or Platforms,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel,Stretchy,Don't exaggerate midsection,Exaggerate neckline and legs
